Task ID	Locality	Task	Information	Requirements	Pts	Comp%
462	Anachronia	Complete the base camp tutorial on Anachronia.	Complete the Anachronia base camp tutorial.	N/A	10	48.5%
463	Anachronia	Observe all the large dragonkin statues around Anachronia.	Observe all the large dragonkin statues around Anachronia.	N/A	10	2.7%
464	Anachronia	Surge under the spine on Anachronia.	Complete Spinal Surgery.	5 Agility	10	27.6%
461	Anachronia	Set sail for Anachronia.	Set sail for Anachronia on The Stormbreaker docked at Varrock Dig Site.	N/A	10	49.5%
465	Anachronia	Complete the quest: Helping Laniakea (miniquest).	Complete the Helping Laniakea miniquest.	Quest: Helping Laniakea (miniquest)	10	0.1%
466	Anachronia	Complete the quest: Raksha, the Shadow Colossus.	Complete Raksha, the Shadow Colossus quest.	Quest: Raksha, the Shadow Colossus	10	6.6%
467	Anachronia	Obtain 100 potent herbs from Herby Werby.	Obtain 100 potent herbs from Herby Werby.	1 Herblore	10	32.8%
468	Anachronia	Build your Player Lodge on Anachronia.	Build your Player Lodge on Anachronia.	40 Construction	30	0.4%
469	Anachronia	Purchase the herb bag and the herb bag upgrade from the Herby Werby reward shop.	Purchase the herb bag and the herb bag upgrade from the Herby Werby reward shop.	1 Herblore	30	<0.1%
470	Anachronia	Give Snoop some clean Dwarf weed.	Give Snoop some clean dwarf weed.	70 Herblore	30	0.3%
471	Anachronia	Harvest produce from 5 animals on Anachronia farm.	Harvest produce from 5 animals on Anachronia farm.	42 Farming, 45 Construction	30	0.2%
473	Anachronia	Complete the beginner sections of the Anachronia agility course.	Complete the beginner sections of the Anachronia agility course.	30 Agility	30	14.4%
474	Anachronia	Complete the novice sections of the Anachronia agility course.	Complete the novice sections of the Anachronia agility course.	50 Agility	30	9.2%
472	Anachronia	Harvest produce from 25 animals on Anachronia farm.	Harvest produce from 25 animals on Anachronia farm.	42 Farming, 45 Construction	80	<0.1%
475	Anachronia	Complete the ritual to activate a totem on Anachronia.	Complete the ritual to activate a totem on Anachronia.	N/A	80	<0.1%
476	Anachronia	Complete the Anachronia agility course in under 7 minutes.	Complete the Anachronia agility course in under 7 minutes.	85 Agility	80	1.3%
477	Anachronia	Complete all frog breeds.	Complete all frog breeds.	42 Farming, 45 Construction	80	<0.1%
478	Anachronia	Purchase the Quick Traps upgrade from Irwinsson's Hunter Mark shop.	Purchase the quick traps upgrade from the Hunter Mark Shop.	50 hunter marks	80	<0.1%
479	Anachronia	Complete the quest: Osseous Rex.	Complete the Osseous Rex quest.	Quest: Osseous Rex	80	0.7%
480	Anachronia	Clear an Overgrown idol on Anachronia.	Clear an overgrown idol on Anachronia.	81 Woodcutting	80	0.2%
481	Anachronia	Defeat any of the Rex Matriarchs.	Defeat any of the Rex Matriarchs once.	N/A	80	5.9%
482	Anachronia	Defeat any of the Rex Matriarchs. (100 times)	Defeat any of the Rex Matriarchs 100 times.	N/A	80	1.1%
483	Anachronia	Complete the quest: Desperate Times.	Complete the Desperate Times quest.	Quest: Desperate Times	80	1%
484	Anachronia	Find all the hidden Zygomites on Anachronia.	Find all of the ancient zygomites on Anachronia. See the page for a route.	85 Agility	80	<0.1%
485	Anachronia	Equip Laniakea's spear.	Equip Laniakea's spear.	82 Attack	80	1%
486	Anachronia	Harvest an Arbuck herb.	Harvest an arbuck herb.	77 Farming	80	3.1%
487	Anachronia	Complete the advanced sections of the Anachronia agility course.	Complete the advanced sections of the Anachronia agility course.	70 Agility	80	5%
488	Anachronia	Equip a Dragon Mattock.	Equip a dragon mattock.	60 Archaeology	80	<0.1%
490	Anachronia	Take down each dinosaur in Big Game Hunter.	Take down each dinosaur in Big Game Hunter.	96 Hunter, 76 Slayer	80	<0.1%
492	Anachronia	Get caught by each of the big game creatures once.	Get caught by each of the Big Game Hunter creatures once.	96 Hunter, 76 Slayer	80	<0.1%
493	Anachronia	Complete a big game encounter without using movement abilities.	Complete a Big Game Hunter encounter without using movement abilities.	75 Hunter, 55 Slayer	80	0.2%
500	Anachronia	Defeat Raksha, the Shadow Colossus.	Defeat Raksha, the Shadow Colossus once.	Completion of Raksha, the Shadow Colossus	80	0.3%
489	Anachronia	Discover all the totem pieces on Anachronia.	Discover all the totem pieces on Anachronia.	N/A	150	<0.1%
491	Anachronia	Unlock the double Surge or double Escape ability upgrade.	Unlock the double Surge or double Escape ability upgrade.	85 Agility	150	<0.1%
494	Anachronia	Harvest a Dragonfruit plant in the cactus patch in the north of Anachronia.	Harvest a dragonfruit cactus in the cactus patch in the north of Anachronia.	81 Farming	150	0.2%
495	Anachronia	Kill 50 Dinosaurs.	Kill 50 dinosaurs.	N/A	150	0.2%
496	Anachronia	Kill 50 Vile Blooms.	Kill 50 vile blooms.	N/A	150	0.2%
497	Anachronia	Solve the Archaeology mystery: Teleport Node On.	Activate all Orthen teleportation devices on Anachronia.	90 Archaeology	150	<0.1%
498	Anachronia	Use Potterington Blend #102 Fertiliser or dinosaur 'propellant' on Prehistoric Potterington.	Use Potterington blend 102 fertiliser or dinosaur 'propellant' on Prehistoric Potterington.	102 Farming	150	<0.1%
499	Anachronia	Find an unchecked egg in the pile of dinosaur eggs south of Anachronia dinosaur farm.	Find a dinosaur egg in the pile of dinosaur eggs on Anachronia Farm.	42 Farming, 45 Construction	150	<0.1%
501	Anachronia	Defeat Raksha, the Shadow Colossus. (100 times)	Defeat Raksha, the Shadow Colossus 100 times.	Completion of Raksha, the Shadow Colossus	150	<0.1%
502	Anachronia	Complete the quest: Desperate Measures.	Complete the Desperate Measures quest.	Quest: Desperate Measures	150	0.2%
503	Anachronia	Equip a Terrasaur maul.	Equip a terrasaur maul.	90 Attack	150	<0.1%
505	Anachronia	Complete a big game encounter without stepping into the creature's vision ring.	Complete a Big Game Hunter encounter without stepping into the creature's vision ring.	75 Hunter, 55 Slayer	150	<0.1%
508	Anachronia	Craft 500 Time Runes.	Craft 500 time runes.	102 Runecrafting	150	<0.1%
509	Anachronia	Solve the Archaeology mystery: Fragmented Memories.	Complete the Fragmented Memories Archaeology mystery.	99 Archaeology	150	<0.1%
512	Anachronia	Fletch any type of Elder God arrow.	Fletch any type of Elder God arrow.	95 Fletching	150	0.1%
513	Anachronia	Cast the Crumble Undead spell.	Cast the Crumble Undead spell.	39 Magic	150	<0.1%
504	Anachronia	Fully upgrade the Town Hall in the base camp on Anachronia.	Fully upgrade the town hall in the base camp on Anachronia.	90 Construction	150	<0.1%
506	Anachronia	Complete a big game encounter with 3 creatures active.	Complete a Big Game Hunter encounter with 3 creatures active.	75 Hunter, 55 Slayer	150	<0.1%
507	Anachronia	Breed a shiny dinosaur.	Breed a shiny dinosaur.	42 Farming, 45 Construction	150	<0.1%
510	Anachronia	Equip Skeka's hypnowand.	Equip Skeka's hypnowand.	99 Archaeology	150	<0.1%
511	Anachronia	Complete the quest: Extinction.	Complete the Extinction quest.	Quest: Extinction	150	<0.1%
217	Asgarnia: Burthorpe	Complete a lap of the Burthorpe Agility course.	Complete a lap of the Burthorpe Agility Course.	1 Agility	10	76.8%
221	Asgarnia: Falador	Kill a goblin raider boss in the Goblin Village.	Kill 15 goblins in the Goblin Village to spawn a Goblin raider boss.	N/A	10	46.9%
222	Asgarnia: Falador	Complete the quest: Witch's House.	Complete Witch's House	Quest: Witch's House	10	34.9%
223	Asgarnia: Falador	Sit down with Tiffy in Falador park.	Sit on the bench with Sir Tiffy Cashien in Falador Park.	N/A	10	73.2%
224	Asgarnia: Falador	Pray to Bandos's remains.	Pray to Bandos's remains (just south-east of Goblin Village.	N/A	10	60.8%
225	Asgarnia: Falador	Dance in the Falador party room.	Dance in the Falador party room.	N/A	10	69.7%
263	Asgarnia: Port Sarim	Give Thurgo a redberry pie.	Give Thurgo a redberry pie.	10 Cooking	10	30.8%
268	Asgarnia: Taverley	Build a God statue in Taverley.	Build a God statue in Taverley.	N/A	10	59.2%
218	Asgarnia: Burthorpe	Enter the Warriors Guild.	Enter the Warriors Guild.	Combined Attack and Strength level of 130	30	17.6%
219	Asgarnia: Burthorpe	Equip a defender.	Equip a defender.	Combined Attack and Strength level of 130	30	7.9%
220	Asgarnia: Burthorpe	Charge an Amulet of Glory in the Heroes' Guild.	Charge an amulet of glory in the Heroes' Guild.	80 Crafting, 68 Magic	30	0.3%
226	Asgarnia: Falador	Enter the Crafting Guild.	Enter the Crafting Guild.	40 Crafting	30	40.9%
227	Asgarnia: Falador	Complete the task set: Easy Falador.	Achievement: Easy Falador	Achievement: Easy Falador	30	2.8%
228	Asgarnia: Falador	Complete the task set: Medium Falador.	Achievement: Medium Falador	Achievement: Medium Falador	30	<0.1%
229	Asgarnia: Falador	Defeat the Giant Mole.	Kill the giant mole.	N/A	30	31.1%
230	Asgarnia: Falador	Defeat the Giant Mole. (50 times)	Kill the giant mole 50 times.	N/A	30	0.2%
231	Asgarnia: Falador	Steal some Wine of Zamorak from the Captured Temple, south of Goblin Village.	Steal some wine of Zamorak from the Captured Temple, south of Goblin Village.	33 Magic	30	18.4%
232	Asgarnia: Falador	Set up a dwarf cannon.	Set up a dwarf multicannon.	Completion of Dwarf Cannon	30	1.5%
233	Asgarnia: Falador	Complete a ceremonial sword at the Artisans' Workshop.	Complete a ceremonial sword at the Artisans' Workshop.	1 Smithing	30	23.8%
234	Asgarnia: Falador	Mine some orichalcite in the Mining Guild.	Mine some orichalcite ore in the Mining Guild.	60 Mining	30	61.8%
235	Asgarnia: Burthorpe	Harvest a herb from the troll stronghold herb patch.	Harvest a herb from the troll stronghold herb patch.	9 Farming	30	0.1%
269	Asgarnia: Taverley	Kill a blue dragon in Taverley dungeon.	Kill a blue dragon in Taverley dungeon.	70 Agility	30	19.5%
270	Asgarnia: Taverley	Open the crystal chest in Taverley.	Open the crystal chest in Taverley.	A crystal key	30	14.9%
236	Asgarnia: Falador	Reach 100% respect at the Artisans' Workshop.	Reach 100% respect at the Artisans' Workshop.	1 Smithing	80	22.3%
237	Asgarnia: Falador	Complete the task set: Hard Falador.	Complete the Hard Falador achievements.	Achievement: Hard Falador	80	<0.1%
246	Asgarnia: Burthorpe	Defeat any God Wars Dungeon boss 100 times.	Defeat any God Wars Dungeon boss 100 times.	Partial completion of Troll Stronghold	80	12.4%
247	Asgarnia: Burthorpe	Defeat any God Wars Dungeon boss 250 times.	Defeat any God Wars Dungeon boss 250 times.	Partial completion of Troll Stronghold	80	4.3%
248	Asgarnia: Burthorpe	Defeat Commander Zilyana.	Defeat Commander Zilyana	70 Agility	80	3%
249	Asgarnia: Burthorpe	Defeat General Graardor.	Defeat General Graardor	70 Strength	80	12.1%
250	Asgarnia: Burthorpe	Defeat K'ril Tsutsaroth.	Defeat K'ril Tsutsaroth	70 Constitution	80	8.4%
251	Asgarnia: Burthorpe	Defeat Kree'arra.	Defeat Kree'arra	70 Ranged	80	1.6%
252	Asgarnia: Burthorpe	Defeat Nex.	Defeat Nex	70 Agility, 70 Strength, 70 Constitution, 70 Ranged	80	0.5%
253	Asgarnia: Burthorpe	Defeat Kree'arra. (100 times)	Defeat Kree'arra 100 times.	70 Ranged	80	<0.1%
254	Asgarnia: Burthorpe	Assemble any godsword from the God Wars Dungeon.	Assemble any godsword from the God Wars Dungeon.	80 Smithing	80	0.8%
264	Asgarnia: Port Sarim	Defeat the Queen Black Dragon.	Defeat the Queen Black Dragon.	60 Summoning	80	2.7%
265	Asgarnia: Port Sarim	Defeat the Queen Black Dragon. (100 times)	Defeat the Queen Black Dragon 100 times.	60 Summoning	80	<0.1%
266	Asgarnia: Port Sarim	Bury some frost dragon bones.	Bury some frost dragon bones.	85 Dungeoneering	80	0.6%
238	Asgarnia: Falador	Complete the task set: Elite Falador.	Complete the Elite Falador achievements.	Achievement: Elite Falador	150	<0.1%
239	Asgarnia: Falador	Complete the Invention tutorial.	Complete the Invention tutorial.	80 Divination, 80 Smithing, 80 Crafting	150	1.7%
240	Asgarnia: Falador	Defeat Vorago, if you think you're hard enough.	Defeat Vorago.	N/A	150	<0.1%
241	Asgarnia: Falador	Defeat Vorago, if you think you're hard enough. (50 times)	Defeat Vorago 50 times.	N/A	150	<0.1%
242	Asgarnia: Falador	Equip a seismic wand or seismic singularity.	Equip a seismic wand or singularity.	90 Magic	150	<0.1%
243	Asgarnia: Falador	Harvest some starbloom flowers from the flower patch south of Falador.	Harvest some starbloom flowers from the flower patch south of Falador.	84 Farming	150	<0.1%
244	Asgarnia: Falador	Unlock the Royale Cannon from the Artisans' Workshop reward shop.	Unlock the royale dwarf multicannon from the Artisans' Workshop Reward Shop.	100% respect	150	<0.1%
245	Asgarnia: Falador	Equip a piece of masterwork melee armour.	Equip a piece of masterwork melee armour.	99 Smithing	150	0.1%
255	Asgarnia: Burthorpe	Equip a full set of Bandos armour.	Equip a full set of Bandos armour.	70 Defence	150	1.9%
256	Asgarnia: Burthorpe	Equip a full set of Armadyl armour.	Equip a full set of Armadyl armour.	70 Defence	150	<0.1%
257	Asgarnia: Burthorpe	Equip a full set of subjugation armour.	Equip a full set of subjugation armour.	70 Defence	150	0.5%
258	Asgarnia: Burthorpe	Equip a piece of Torva, Pernix or Virtus armour.	Equip a piece of Torva, Pernix or Virtus armour.	80 Defence	150	<0.1%
